year,state,month,number,date
2002,Distrito Federal,June,7,1/1/2002
2003,Distrito Federal,June,11,1/1/2003
2004,Distrito Federal,June,6,1/1/2004
2005,Distrito Federal,June,3,1/1/2005
2006,Distrito Federal,June,2,1/1/2006
2007,Distrito Federal,June,21,1/1/2007
2008,Distrito Federal,June,0,1/1/2008
2009,Distrito Federal,June,4,1/1/2009
2010,Distrito Federal,June,21,1/1/2010
2011,Distrito Federal,June,18,1/1/2011
2012,Distrito Federal,June,6,1/1/2012
2013,Distrito Federal,June,4,1/1/2013
2014,Distrito Federal,June,6,1/1/2014
2015,Distrito Federal,June,1,1/1/2015
2016,Distrito Federal,June,42,1/1/2016
2017,Distrito Federal,June,23,1/1/2017
1998,Distrito Federal,July,17,1/1/1998
1999,Distrito Federal,July,4,1/1/1999
2000,Distrito Federal,July,15,1/1/2000
2001,Distrito Federal,July,22,1/1/2001
2002,Distrito Federal,July,33,1/1/2002
2003,Distrito Federal,July,19,1/1/2003
2004,Distrito Federal,July,37,1/1/2004
2005,Distrito Federal,July,24,1/1/2005
2006,Distrito Federal,July,10,1/1/2006
2007,Distrito Federal,July,25,1/1/2007
2008,Distrito Federal,July,12,1/1/2008
2009,Distrito Federal,July,33,1/1/2009
2010,Distrito Federal,July,85,1/1/2010
2011,Distrito Federal,July,53,1/1/2011
2012,Distrito Federal,July,29,1/1/2012
2013,Distrito Federal,July,22,1/1/2013
2014,Distrito Federal,July,27,1/1/2014
2015,Distrito Federal,July,15,1/1/2015
2016,Distrito Federal,July,79,1/1/2016
2017,Distrito Federal,July,44,1/1/2017
1998,Distrito Federal,August,48,1/1/1998
1999,Distrito Federal,August,16,1/1/1999
2000,Distrito Federal,August,9,1/1/2000
2001,Distrito Federal,August,25,1/1/2001
2002,Distrito Federal,August,53,1/1/2002
2003,Distrito Federal,August,36,1/1/2003
2004,Distrito Federal,August,108,1/1/2004
2005,Distrito Federal,August,20,1/1/2005
2006,Distrito Federal,August,40,1/1/2006
2007,Distrito Federal,August,137,1/1/2007
2008,Distrito Federal,August,30,1/1/2008
2009,Distrito Federal,August,37,1/1/2009
2010,Distrito Federal,August,159,1/1/2010
2011,Distrito Federal,August,61,1/1/2011
2012,Distrito Federal,August,55,1/1/2012
2013,Distrito Federal,August,34,1/1/2013
2014,Distrito Federal,August,99,1/1/2014
2015,Distrito Federal,August,53,1/1/2015
2016,Distrito Federal,August,29,1/1/2016
2017,Distrito Federal,August,147,1/1/2017
1998,Distrito Federal,September,33,1/1/1998
1999,Distrito Federal,September,12,1/1/1999
2000,Distrito Federal,September,3,1/1/2000
2001,Distrito Federal,September,12,1/1/2001
2002,Distrito Federal,September,33,1/1/2002
2003,Distrito Federal,September,17,1/1/2003
2004,Distrito Federal,September,100,1/1/2004
2005,Distrito Federal,September,23,1/1/2005
2006,Distrito Federal,September,20,1/1/2006
2007,Distrito Federal,September,73,1/1/2007
2008,Distrito Federal,September,54,1/1/2008
2009,Distrito Federal,September,5,1/1/2009
2010,Distrito Federal,September,196,1/1/2010
2011,Distrito Federal,September,133,1/1/2011
2012,Distrito Federal,September,64,1/1/2012
2013,Distrito Federal,September,31,1/1/2013
2014,Distrito Federal,September,72,1/1/2014
2015,Distrito Federal,September,76,1/1/2015
2016,Distrito Federal,September,58,1/1/2016
2017,Distrito Federal,September,122,1/1/2017
1998,Distrito Federal,October,3,1/1/1998
1999,Distrito Federal,October,8,1/1/1999
2000,Distrito Federal,October,18,1/1/2000
2001,Distrito Federal,October,0,1/1/2001
2002,Distrito Federal,October,19,1/1/2002
2003,Distrito Federal,October,12,1/1/2003
2004,Distrito Federal,October,18,1/1/2004
2005,Distrito Federal,October,18,1/1/2005
2006,Distrito Federal,October,1,1/1/2006
2007,Distrito Federal,October,13,1/1/2007
2008,Distrito Federal,October,6,1/1/2008
2009,Distrito Federal,October,3,1/1/2009
2010,Distrito Federal,October,6,1/1/2010
2011,Distrito Federal,October,0,1/1/2011
2012,Distrito Federal,October,15,1/1/2012
2013,Distrito Federal,October,3,1/1/2013
2014,Distrito Federal,October,34,1/1/2014
2015,Distrito Federal,October,21,1/1/2015
2016,Distrito Federal,October,9,1/1/2016
2017,Distrito Federal,October,66,1/1/2017
1998,Distrito Federal,November,0,1/1/1998
1999,Distrito Federal,November,1,1/1/1999
2000,Distrito Federal,November,0,1/1/2000
2001,Distrito Federal,November,0,1/1/2001
2002,Distrito Federal,November,1,1/1/2002
2003,Distrito Federal,November,0,1/1/2003
2004,Distrito Federal,November,0,1/1/2004
2005,Distrito Federal,November,2,1/1/2005
2006,Distrito Federal,November,0,1/1/2006
2007,Distrito Federal,November,0,1/1/2007
2008,Distrito Federal,November,4,1/1/2008
2009,Distrito Federal,November,0,1/1/2009
2010,Distrito Federal,November,0,1/1/2010
2011,Distrito Federal,November,1,1/1/2011
2012,Distrito Federal,November,0,1/1/2012
2013,Distrito Federal,November,0,1/1/2013
2014,Distrito Federal,November,0,1/1/2014
2015,Distrito Federal,November,3,1/1/2015
2016,Distrito Federal,November,1,1/1/2016
2017,Distrito Federal,November,0,1/1/2017
1998,Distrito Federal,December,0,1/1/1998
1999,Distrito Federal,December,0,1/1/1999
2000,Distrito Federal,December,0,1/1/2000
2001,Distrito Federal,December,1,1/1/2001
2002,Distrito Federal,December,1,1/1/2002
2003,Distrito Federal,December,0,1/1/2003
2004,Distrito Federal,December,0,1/1/2004
2005,Distrito Federal,December,0,1/1/2005
2006,Distrito Federal,December,0,1/1/2006
2007,Distrito Federal,December,0,1/1/2007
2008,Distrito Federal,December,0,1/1/2008
2009,Distrito Federal,December,0,1/1/2009
2010,Distrito Federal,December,1,1/1/2010
2011,Distrito Federal,December,0,1/1/2011
2012,Distrito Federal,December,0,1/1/2012
2013,Distrito Federal,December,2,1/1/2013
2014,Distrito Federal,December,0,1/1/2014
2015,Distrito Federal,December,0,1/1/2015
2016,Distrito Federal,December,0,1/1/2016
1998,Espirito Santo,January,0,1/1/1998
1999,Espirito Santo,January,33,1/1/1999
2000,Espirito Santo,January,5,1/1/2000
2001,Espirito Santo,January,1,1/1/2001
2002,Espirito Santo,January,2,1/1/2002
2003,Espirito Santo,January,4,1/1/2003
2004,Espirito Santo,January,1,1/1/2004
2005,Espirito Santo,January,4,1/1/2005
2006,Espirito Santo,January,13,1/1/2006
2007,Espirito Santo,January,0,1/1/2007
2008,Espirito Santo,January,12,1/1/2008
2009,Espirito Santo,January,4,1/1/2009
2010,Espirito Santo,January,52,1/1/2010
2011,Espirito Santo,January,3,1/1/2011
2012,Espirito Santo,January,1,1/1/2012
2013,Espirito Santo,January,10,1/1/2013
2014,Espirito Santo,January,11,1/1/2014
2015,Espirito Santo,January,76,1/1/2015
2016,Espirito Santo,January,43,1/1/2016
2017,Espirito Santo,January,13,1/1/2017
1998,Espirito Santo,February,0,1/1/1998
1999,Espirito Santo,February,10,1/1/1999
2000,Espirito Santo,February,5,1/1/2000
2001,Espirito Santo,February,5,1/1/2001
2002,Espirito Santo,February,4,1/1/2002
2003,Espirito Santo,February,11,1/1/2003
2004,Espirito Santo,February,5,1/1/2004
2005,Espirito Santo,February,1,1/1/2005
2006,Espirito Santo,February,45,1/1/2006
2007,Espirito Santo,February,3,1/1/2007
2008,Espirito Santo,February,20,1/1/2008
2009,Espirito Santo,February,12,1/1/2009
2010,Espirito Santo,February,15,1/1/2010
2011,Espirito Santo,February,42,1/1/2011
2012,Espirito Santo,February,25,1/1/2012
2013,Espirito Santo,February,15,1/1/2013
2014,Espirito Santo,February,17,1/1/2014
2015,Espirito Santo,February,60,1/1/2015
2016,Espirito Santo,February,24,1/1/2016
2017,Espirito Santo,February,8,1/1/2017
1998,Espirito Santo,March,0,1/1/1998
1999,Espirito Santo,March,8,1/1/1999
2000,Espirito Santo,March,1,1/1/2000
2001,Espirito Santo,March,2,1/1/2001
2002,Espirito Santo,March,4,1/1/2002
2003,Espirito Santo,March,28,1/1/2003
2004,Espirito Santo,March,3,1/1/2004
2005,Espirito Santo,March,3,1/1/2005
2006,Espirito Santo,March,14,1/1/2006
2007,Espirito Santo,March,9,1/1/2007
2008,Espirito Santo,March,5,1/1/2008
2009,Espirito Santo,March,11,1/1/2009
2010,Espirito Santo,March,3,1/1/2010
2011,Espirito Santo,March,5,1/1/2011
2012,Espirito Santo,March,35,1/1/2012
2013,Espirito Santo,March,13,1/1/2013
2014,Espirito Santo,March,15,1/1/2014
2015,Espirito Santo,March,25,1/1/2015
2016,Espirito Santo,March,107,1/1/2016
2017,Espirito Santo,March,9,1/1/2017
1998,Espirito Santo,April,0,1/1/1998
1999,Espirito Santo,April,2,1/1/1999
2000,Espirito Santo,April,3,1/1/2000
2001,Espirito Santo,April,2,1/1/2001
2002,Espirito Santo,April,2,1/1/2002
2003,Espirito Santo,April,22,1/1/2003
2004,Espirito Santo,April,0,1/1/2004
2005,Espirito Santo,April,4,1/1/2005
2006,Espirito Santo,April,1,1/1/2006
2007,Espirito Santo,April,2,1/1/2007
2008,Espirito Santo,April,8,1/1/2008
2009,Espirito Santo,April,8,1/1/2009
2010,Espirito Santo,April,7,1/1/2010
2011,Espirito Santo,April,3,1/1/2011
2012,Espirito Santo,April,74,1/1/2012
2013,Espirito Santo,April,16,1/1/2013
2014,Espirito Santo,April,15,1/1/2014
2015,Espirito Santo,April,33,1/1/2015
2016,Espirito Santo,April,57,1/1/2016
2017,Espirito Santo,April,7,1/1/2017
1998,Espirito Santo,May,0,1/1/1998
1999,Espirito Santo,May,16,1/1/1999
2000,Espirito Santo,May,2,1/1/2000
2001,Espirito Santo,May,8,1/1/2001
2002,Espirito Santo,May,5,1/1/2002
2003,Espirito Santo,May,1,1/1/2003
2004,Espirito Santo,May,0,1/1/2004
2005,Espirito Santo,May,5,1/1/2005
2006,Espirito Santo,May,0,1/1/2006
2007,Espirito Santo,May,1,1/1/2007
2008,Espirito Santo,May,2,1/1/2008
2009,Espirito Santo,May,7,1/1/2009
2010,Espirito Santo,May,3,1/1/2010
2011,Espirito Santo,May,2,1/1/2011
2012,Espirito Santo,May,20,1/1/2012
2013,Espirito Santo,May,14,1/1/2013
2014,Espirito Santo,May,18,1/1/2014
2015,Espirito Santo,May,17,1/1/2015
2016,Espirito Santo,May,48,1/1/2016
2017,Espirito Santo,May,10,1/1/2017
1998,Espirito Santo,June,6,1/1/1998
1999,Espirito Santo,June,6,1/1/1999
2000,Espirito Santo,June,9,1/1/2000
2001,Espirito Santo,June,9,1/1/2001
2002,Espirito Santo,June,18,1/1/2002
2003,Espirito Santo,June,19,1/1/2003
2004,Espirito Santo,June,3,1/1/2004
2005,Espirito Santo,June,8,1/1/2005
2006,Espirito Santo,June,5,1/1/2006
2007,Espirito Santo,June,4,1/1/2007
2008,Espirito Santo,June,4,1/1/2008
2009,Espirito Santo,June,12,1/1/2009
2010,Espirito Santo,June,3,1/1/2010
2011,Espirito Santo,June,7,1/1/2011
2012,Espirito Santo,June,15,1/1/2012
2013,Espirito Santo,June,22,1/1/2013
2014,Espirito Santo,June,9,1/1/2014
2015,Espirito Santo,June,18,1/1/2015
2016,Espirito Santo,June,49,1/1/2016
2017,Espirito Santo,June,37,1/1/2017
1998,Espirito Santo,July,37,1/1/1998
1999,Espirito Santo,July,9,1/1/1999
2000,Espirito Santo,July,16,1/1/2000
2001,Espirito Santo,July,12,1/1/2001
2002,Espirito Santo,July,9,1/1/2002
2003,Espirito Santo,July,27,1/1/2003
2004,Espirito Santo,July,4,1/1/2004
2005,Espirito Santo,July,9,1/1/2005
2006,Espirito Santo,July,11,1/1/2006
2007,Espirito Santo,July,13,1/1/2007
2008,Espirito Santo,July,5,1/1/2008
2009,Espirito Santo,July,25,1/1/2009
2010,Espirito Santo,July,5,1/1/2010
2011,Espirito Santo,July,18,1/1/2011
2012,Espirito Santo,July,35,1/1/2012
2013,Espirito Santo,July,20,1/1/2013
2014,Espirito Santo,July,17,1/1/2014
2015,Espirito Santo,July,30,1/1/2015
2016,Espirito Santo,July,42,1/1/2016
2017,Espirito Santo,July,3,1/1/2017
1998,Espirito Santo,August,38,1/1/1998
1999,Espirito Santo,August,60,1/1/1999
2000,Espirito Santo,August,26,1/1/2000
2001,Espirito Santo,August,30,1/1/2001
2002,Espirito Santo,August,60,1/1/2002
2003,Espirito Santo,August,118,1/1/2003
2004,Espirito Santo,August,12,1/1/2004
2005,Espirito Santo,August,12,1/1/2005
2006,Espirito Santo,August,29,1/1/2006
2007,Espirito Santo,August,82,1/1/2007
2008,Espirito Santo,August,13,1/1/2008
2009,Espirito Santo,August,17,1/1/2009
2010,Espirito Santo,August,39,1/1/2010
2011,Espirito Santo,August,93,1/1/2011
2012,Espirito Santo,August,12,1/1/2012
2013,Espirito Santo,August,53,1/1/2013
2014,Espirito Santo,August,47,1/1/2014
2015,Espirito Santo,August,35,1/1/2015
2016,Espirito Santo,August,78,1/1/2016
2017,Espirito Santo,August,30,1/1/2017
1998,Espirito Santo,September,108,1/1/1998
1999,Espirito Santo,September,64,1/1/1999
2000,Espirito Santo,September,14,1/1/2000
2001,Espirito Santo,September,38,1/1/2001
2002,Espirito Santo,September,46,1/1/2002
2003,Espirito Santo,September,252,1/1/2003
2004,Espirito Santo,September,47,1/1/2004
2005,Espirito Santo,September,8,1/1/2005
2006,Espirito Santo,September,87,1/1/2006
2007,Espirito Santo,September,63,1/1/2007
2008,Espirito Santo,September,78,1/1/2008
2009,Espirito Santo,September,57,1/1/2009
2010,Espirito Santo,September,53,1/1/2010
2011,Espirito Santo,September,108,1/1/2011
2012,Espirito Santo,September,48,1/1/2012
2013,Espirito Santo,September,30,1/1/2013
2014,Espirito Santo,September,61,1/1/2014
2015,Espirito Santo,September,228,1/1/2015
2016,Espirito Santo,September,128,1/1/2016
2017,Espirito Santo,September,58,1/1/2017
1998,Espirito Santo,October,20,1/1/1998
1999,Espirito Santo,October,23,1/1/1999
2000,Espirito Santo,October,88,1/1/2000
2001,Espirito Santo,October,19,1/1/2001
2002,Espirito Santo,October,113,1/1/2002
2003,Espirito Santo,October,159,1/1/2003
2004,Espirito Santo,October,48,1/1/2004
2005,Espirito Santo,October,62,1/1/2005
2006,Espirito Santo,October,10,1/1/2006
2007,Espirito Santo,October,79,1/1/2007
2008,Espirito Santo,October,100,1/1/2008
2009,Espirito Santo,October,13,1/1/2009
2010,Espirito Santo,October,32,1/1/2010
2011,Espirito Santo,October,38,1/1/2011
2012,Espirito Santo,October,62,1/1/2012
2013,Espirito Santo,October,37,1/1/2013
2014,Espirito Santo,October,89,1/1/2014
2015,Espirito Santo,October,307,1/1/2015
2016,Espirito Santo,October,58,1/1/2016
2017,Espirito Santo,October,56,1/1/2017
1998,Espirito Santo,November,4,1/1/1998
1999,Espirito Santo,November,9,1/1/1999
2000,Espirito Santo,November,3,1/1/2000
2001,Espirito Santo,November,3,1/1/2001
2002,Espirito Santo,November,22,1/1/2002
2003,Espirito Santo,November,49,1/1/2003
2004,Espirito Santo,November,42,1/1/2004
2005,Espirito Santo,November,0,1/1/2005
2006,Espirito Santo,November,0,1/1/2006
2007,Espirito Santo,November,112,1/1/2007
2008,Espirito Santo,November,3,1/1/2008
2009,Espirito Santo,November,18,1/1/2009
2010,Espirito Santo,November,3,1/1/2010
2011,Espirito Santo,November,6,1/1/2011
2012,Espirito Santo,November,7,1/1/2012
2013,Espirito Santo,November,11,1/1/2013
2014,Espirito Santo,November,20,1/1/2014
2015,Espirito Santo,November,141,1/1/2015
2016,Espirito Santo,November,8,1/1/2016
2017,Espirito Santo,November,3,1/1/2017
1998,Espirito Santo,December,5,1/1/1998
1999,Espirito Santo,December,0,1/1/1999
2000,Espirito Santo,December,3,1/1/2000
2001,Espirito Santo,December,1,1/1/2001
2002,Espirito Santo,December,12,1/1/2002
2003,Espirito Santo,December,18,1/1/2003
2004,Espirito Santo,December,9,1/1/2004
2005,Espirito Santo,December,5,1/1/2005
2006,Espirito Santo,December,0,1/1/2006
2007,Espirito Santo,December,14,1/1/2007
2008,Espirito Santo,December,1,1/1/2008
2009,Espirito Santo,December,32,1/1/2009
2010,Espirito Santo,December,10,1/1/2010
2011,Espirito Santo,December,1,1/1/2011
2012,Espirito Santo,December,18,1/1/2012
2013,Espirito Santo,December,9,1/1/2013
2014,Espirito Santo,December,28,1/1/2014
2015,Espirito Santo,December,61,1/1/2015
2016,Espirito Santo,December,12,1/1/2016
1998,Goias,January,0,1/1/1998
1999,Goias,January,14,1/1/1999
2000,Goias,January,10,1/1/2000
2001,Goias,January,29,1/1/2001
2002,Goias,January,12,1/1/2002
2003,Goias,January,14,1/1/2003
2004,Goias,January,10,1/1/2004
2005,Goias,January,27,1/1/2005
2006,Goias,January,85,1/1/2006
2007,Goias,January,28,1/1/2007
2008,Goias,January,23,1/1/2008
2009,Goias,January,30,1/1/2009
2010,Goias,January,59,1/1/2010
2011,Goias,January,39,1/1/2011
2012,Goias,January,21,1/1/2012
2013,Goias,January,33,1/1/2013
2014,Goias,January,80,1/1/2014
2015,Goias,January,118,1/1/2015
2016,Goias,January,52,1/1/2016
2017,Goias,January,53,1/1/2017
1998,Goias,February,0,1/1/1998
1999,Goias,February,334,1/1/1999
2000,Goias,February,11,1/1/2000
2001,Goias,February,9,1/1/2001
2002,Goias,February,9,1/1/2002
2003,Goias,February,47,1/1/2003
2004,Goias,February,11,1/1/2004
2005,Goias,February,84,1/1/2005
2006,Goias,February,21,1/1/2006
2007,Goias,February,13,1/1/2007
2008,Goias,February,25,1/1/2008
2009,Goias,February,29,1/1/2009
2010,Goias,February,86,1/1/2010
2011,Goias,February,45,1/1/2011
2012,Goias,February,37,1/1/2012
2013,Goias,February,86,1/1/2013
2014,Goias,February,44,1/1/2014
2015,Goias,February,53,1/1/2015
2016,Goias,February,117,1/1/2016
2017,Goias,February,75,1/1/2017
1998,Goias,March,0,1/1/1998
1999,Goias,March,1,1/1/1999
2000,Goias,March,4,1/1/2000
2001,Goias,March,10,1/1/2001
2002,Goias,March,48,1/1/2002
2003,Goias,March,29,1/1/2003
2004,Goias,March,36,1/1/2004
2005,Goias,March,36,1/1/2005
2006,Goias,March,29,1/1/2006
2007,Goias,March,49,1/1/2007
2008,Goias,March,20,1/1/2008
2009,Goias,March,32,1/1/2009
2010,Goias,March,65,1/1/2010
2011,Goias,March,19,1/1/2011
2012,Goias,March,57,1/1/2012
2013,Goias,March,79,1/1/2013
2014,Goias,March,80,1/1/2014
2015,Goias,March,76,1/1/2015
2016,Goias,March,136,1/1/2016
2017,Goias,March,115,1/1/2017
1998,Goias,April,0,1/1/1998
1999,Goias,April,25,1/1/1999
2000,Goias,April,16,1/1/2000
2001,Goias,April,49,1/1/2001
2002,Goias,April,78,1/1/2002
2003,Goias,April,87,1/1/2003
2004,Goias,April,32,1/1/2004
2005,Goias,April,55,1/1/2005
2006,Goias,April,22,1/1/2006
2007,Goias,April,17,1/1/2007
2008,Goias,April,36,1/1/2008
2009,Goias,April,11,1/1/2009
2010,Goias,April,105,1/1/2010
2011,Goias,April,71,1/1/2011
2012,Goias,April,89,1/1/2012
2013,Goias,April,42,1/1/2013
2014,Goias,April,138,1/1/2014
2015,Goias,April,89,1/1/2015
2016,Goias,April,167,1/1/2016
2017,Goias,April,60,1/1/2017
1998,Goias,May,0,1/1/1998
1999,Goias,May,99,1/1/1999
2000,Goias,May,58,1/1/2000
2001,Goias,May,85,1/1/2001
2002,Goias,May,171,1/1/2002
2003,Goias,May,57,1/1/2003
2004,Goias,May,157,1/1/2004
2005,Goias,May,164,1/1/2005
2006,Goias,May,33,1/1/2006
2007,Goias,May,94,1/1/2007
2008,Goias,May,41,1/1/2008
2009,Goias,May,104,1/1/2009
2010,Goias,May,239,1/1/2010
2011,Goias,May,136,1/1/2011
2012,Goias,May,103,1/1/2012
2013,Goias,May,150,1/1/2013
2014,Goias,May,210,1/1/2014
2015,Goias,May,129,1/1/2015
2016,Goias,May,233,1/1/2016
2017,Goias,May,135,1/1/2017
1998,Goias,June,172,1/1/1998
1999,Goias,June,250,1/1/1999
2000,Goias,June,222,1/1/2000
2001,Goias,June,212,1/1/2001
2002,Goias,June,302,1/1/2002
2003,Goias,June,321,1/1/2003
2004,Goias,June,422,1/1/2004
2005,Goias,June,189,1/1/2005
2006,Goias,June,70,1/1/2006
2007,Goias,June,186,1/1/2007
2008,Goias,June,55,1/1/2008
2009,Goias,June,179,1/1/2009
2010,Goias,June,278,1/1/2010
2011,Goias,June,314,1/1/2011
2012,Goias,June,245,1/1/2012
2013,Goias,June,192,1/1/2013
2014,Goias,June,318,1/1/2014
2015,Goias,June,277,1/1/2015
2016,Goias,June,289,1/1/2016
2017,Goias,June,442,1/1/2017
1998,Goias,July,512,1/1/1998
1999,Goias,July,311,1/1/1999
2000,Goias,July,332,1/1/2000
2001,Goias,July,371,1/1/2001
2002,Goias,July,686,1/1/2002
2003,Goias,July,322,1/1/2003
2004,Goias,July,778,1/1/2004
2005,Goias,July,363,1/1/2005
2006,Goias,July,169,1/1/2006
2007,Goias,July,399,1/1/2007
2008,Goias,July,193,1/1/2008
2009,Goias,July,470,1/1/2009
2010,Goias,July,941,1/1/2010
2011,Goias,July,607,1/1/2011
2012,Goias,July,564,1/1/2012
2013,Goias,July,350,1/1/2013
2014,Goias,July,446,1/1/2014
2015,Goias,July,347,1/1/2015
2016,Goias,July,837,1/1/2016
2017,Goias,July,577,1/1/2017
1998,Goias,August,2.218,1/1/1998
1999,Goias,August,1.198,1/1/1999
2000,Goias,August,925,1/1/2000
2001,Goias,August,787,1/1/2001
2002,Goias,August,1.428,1/1/2002
2003,Goias,August,902,1/1/2003
2004,Goias,August,1.498,1/1/2004
2005,Goias,August,639,1/1/2005
2006,Goias,August,588,1/1/2006
2007,Goias,August,2.382,1/1/2007
2008,Goias,August,568,1/1/2008
2009,Goias,August,647,1/1/2009
2010,Goias,August,2.914,1/1/2010
2011,Goias,August,1.613,1/1/2011
2012,Goias,August,912,1/1/2012
2013,Goias,August,488,1/1/2013
2014,Goias,August,1.255,1/1/2014
2015,Goias,August,943,1/1/2015
2016,Goias,August,1.032,1/1/2016
2017,Goias,August,1.492,1/1/2017
1998,Goias,September,2.867,1/1/1998
1999,Goias,September,1.898,1/1/1999
2000,Goias,September,1.293,1/1/2000
2001,Goias,September,1.863,1/1/2001
2002,Goias,September,3.52,1/1/2002
2003,Goias,September,1.662,1/1/2003
2004,Goias,September,2.965,1/1/2004
2005,Goias,September,1.341,1/1/2005
2006,Goias,September,1.463,1/1/2006
2007,Goias,September,3.745,1/1/2007
2008,Goias,September,1.255,1/1/2008
2009,Goias,September,685,1/1/2009
2010,Goias,September,5.075,1/1/2010
2011,Goias,September,2.259,1/1/2011
2012,Goias,September,2.452,1/1/2012
2013,Goias,September,684,1/1/2013
2014,Goias,September,1.687,1/1/2014
2015,Goias,September,2.296,1/1/2015
2016,Goias,September,1.703,1/1/2016
2017,Goias,September,3.238,1/1/2017
1998,Goias,October,1.034,1/1/1998
1999,Goias,October,743,1/1/1999
2000,Goias,October,905,1/1/2000
2001,Goias,October,479,1/1/2001
2002,Goias,October,1.367,1/1/2002
2003,Goias,October,1.183,1/1/2003
2004,Goias,October,1.275,1/1/2004
2005,Goias,October,1.717,1/1/2005
2006,Goias,October,178,1/1/2006
2007,Goias,October,1.195,1/1/2007
2008,Goias,October,1.231,1/1/2008
2009,Goias,October,367,1/1/2009
2010,Goias,October,1.227,1/1/2010
2011,Goias,October,476,1/1/2011
2012,Goias,October,1.524,1/1/2012
2013,Goias,October,606,1/1/2013
2014,Goias,October,1.947,1/1/2014
2015,Goias,October,1.807,1/1/2015
2016,Goias,October,522,1/1/2016
2017,Goias,October,2.401,1/1/2017
1998,Goias,November,47,1/1/1998
1999,Goias,November,110,1/1/1999
2000,Goias,November,26,1/1/2000
2001,Goias,November,15,1/1/2001
2002,Goias,November,192,1/1/2002
2003,Goias,November,168,1/1/2003
2004,Goias,November,291,1/1/2004
2005,Goias,November,144,1/1/2005
2006,Goias,November,91,1/1/2006
2007,Goias,November,79,1/1/2007
2008,Goias,November,90,1/1/2008
2009,Goias,November,89,1/1/2009
2010,Goias,November,67,1/1/2010
2011,Goias,November,59,1/1/2011
2012,Goias,November,57,1/1/2012
2013,Goias,November,183,1/1/2013
2014,Goias,November,181,1/1/2014
2015,Goias,November,547,1/1/2015
2016,Goias,November,123,1/1/2016
2017,Goias,November,117,1/1/2017
1998,Goias,December,13,1/1/1998
1999,Goias,December,20,1/1/1999
2000,Goias,December,6,1/1/2000
2001,Goias,December,18,1/1/2001
2002,Goias,December,115,1/1/2002
2003,Goias,December,129,1/1/2003
2004,Goias,December,56,1/1/2004
2005,Goias,December,5,1/1/2005
2006,Goias,December,7,1/1/2006
2007,Goias,December,16,1/1/2007
2008,Goias,December,6,1/1/2008
2009,Goias,December,39,1/1/2009
2010,Goias,December,48,1/1/2010
2011,Goias,December,39,1/1/2011
2012,Goias,December,93,1/1/2012
2013,Goias,December,86,1/1/2013
2014,Goias,December,68,1/1/2014
2015,Goias,December,179,1/1/2015
2016,Goias,December,64,1/1/2016
1998,Maranhao,January,0,1/1/1998
1999,Maranhao,January,54,1/1/1999
2000,Maranhao,January,19,1/1/2000
2001,Maranhao,January,29,1/1/2001
2002,Maranhao,January,48,1/1/2002
2003,Maranhao,January,436,1/1/2003
2004,Maranhao,January,241,1/1/2004
2005,Maranhao,January,450,1/1/2005
2006,Maranhao,January,221,1/1/2006
2007,Maranhao,January,428,1/1/2007
2008,Maranhao,January,121,1/1/2008
2009,Maranhao,January,240,1/1/2009
2010,Maranhao,January,319,1/1/2010
2011,Maranhao,January,124,1/1/2011
2012,Maranhao,January,326,1/1/2012
2013,Maranhao,January,209,1/1/2013
2014,Maranhao,January,195,1/1/2014
2015,Maranhao,January,494,1/1/2015
2016,Maranhao,January,412,1/1/2016
2017,Maranhao,January,187,1/1/2017
1998,Maranhao,February,0,1/1/1998
1999,Maranhao,February,6,1/1/1999
2000,Maranhao,February,11,1/1/2000
2001,Maranhao,February,1,1/1/2001
2002,Maranhao,February,116,1/1/2002
2003,Maranhao,February,11,1/1/2003
2004,Maranhao,February,22,1/1/2004
2005,Maranhao,February,56,1/1/2005
2006,Maranhao,February,22,1/1/2006
2007,Maranhao,February,13,1/1/2007
2008,Maranhao,February,45,1/1/2008
2009,Maranhao,February,20,1/1/2009
2010,Maranhao,February,93,1/1/2010
2011,Maranhao,February,9,1/1/2011
2012,Maranhao,February,46,1/1/2012
2013,Maranhao,February,62,1/1/2013
2014,Maranhao,February,29,1/1/2014
2015,Maranhao,February,95,1/1/2015
2016,Maranhao,February,318,1/1/2016
2017,Maranhao,February,47,1/1/2017
1998,Maranhao,March,0,1/1/1998
1999,Maranhao,March,17,1/1/1999
2000,Maranhao,March,6,1/1/2000
2001,Maranhao,March,0,1/1/2001
2002,Maranhao,March,16,1/1/2002
2003,Maranhao,March,16,1/1/2003
2004,Maranhao,March,18,1/1/2004
2005,Maranhao,March,9,1/1/2005
2006,Maranhao,March,14,1/1/2006
2007,Maranhao,March,52,1/1/2007
2008,Maranhao,March,4,1/1/2008
2009,Maranhao,March,33,1/1/2009
2010,Maranhao,March,82,1/1/2010
2011,Maranhao,March,22,1/1/2011
2012,Maranhao,March,49,1/1/2012
2013,Maranhao,March,30,1/1/2013
2014,Maranhao,March,59,1/1/2014
2015,Maranhao,March,53,1/1/2015
2016,Maranhao,March,113,1/1/2016
2017,Maranhao,March,32,1/1/2017
1998,Maranhao,April,0,1/1/1998
1999,Maranhao,April,4,1/1/1999
2000,Maranhao,April,6,1/1/2000
2001,Maranhao,April,2,1/1/2001
2002,Maranhao,April,28,1/1/2002
2003,Maranhao,April,79,1/1/2003
2004,Maranhao,April,44,1/1/2004
2005,Maranhao,April,43,1/1/2005
2006,Maranhao,April,9,1/1/2006
